# Protein-1,# Protein-2
CIR,NCOR1
CIR,SAP18
CIR,SNW1
CK2B,CSNK1D
CK2B,CSNK1E
CK2B,GSK3B
CK2B,MTIF2
CLTC,HDAC2
CLTC,KRT18
CLTC,NUP153
CLTC,PAPOLA
CLTC,SMAD2
CLTC,WASL
CREB,CREBBP
CREB,FOS
CREB,JUND
CREB,SP1
CREBBP,CTBP1
CREBBP,CTNNB1
CREBBP,ETS1
CREBBP,HNF4A
CREBBP,MYC
CREBBP,NCOA2
CREBBP,NFKB1
CREBBP,RELA
CREBBP,SMAD2
CREBBP,SMAD4
CREBBP,SNIP1
CREBBP,STAT1
CREBBP,STAT3
CREBBP,TP53
CREBBP,YY1
CRK,CSK
CRK,EGFR
CRK,FYN
CRK,GRB2
CRK,JAK1
CRK,JAK2
CRK,PTK2
CRK,STAT1
CRK,STAT3
CRKL,CDC42
CRKL,CREBBP
CRKL,CSK
CRKL,CSNK1E
CRKL,EGFR
CRKL,FYN
CRKL,GRB2
CRKL,JAK1
CRKL,JAK2
CRKL,PIK3R2
CRKL,PPP2CA
CRKL,PTK2
CRKL,PTPN12
CRKL,RAC1
CRKL,SOCS3
CRKL,SOCS5
CRKL,STAT1
CRKL,STAT3
CRKL,WASL
CRM1,APC
CRM1,CCNB1
CRM1,CRK
CRM1,CTNNB1
CRM1,NFKB1
CRM1,NUP153
CRM1,NUP214
CRM1,RAN
CRM1,RELA
CRM1,STAT1
CRM1,TP53
CSK,CREBBP
CSK,CTBP1
CSK,DAB2
CSK,EGFR
CSK,FYN
CSK,GRB2
CSK,JAK1
CSK,JAK2
CSK,KPNA2
CSK,PIK3R2
CSK,PRKAR1A
CSK,PTK2
CSK,SHC1
CSK,SMAD2
CSK,SOCS3
CSK,STAT1
CSK,STAT3
CSK,TCF3
CSNK1D,DCP1A
CSNK1D,IKBKAP
CSNK1E,APC
CSNK1E,DCP1A
CSNK1E,FYN
CSNK1E,IKBKAP
CTBP1,DAXX
CTBP1,ETS1
CTBP1,RELA
CTBP1,SMAD2
CTBP1,SPEN
CTBP1,STAT1
CTBP1,TCF3
CTBP2,CDH1
CTBP2,HDAC2
CTBP2,LEF1
CTCF,SP1
CTNNB1,APC
CTNNB1,FYN
CTNNB1,HDAC2
CTNNB1,JAK2
CTNNB1,LEF1
CTNNB1,NOTCH2
CTNNB1,PSEN1
CTNNB1,SMAD2
CUL1,BTRC
CUL1,CDK2
CUL1,CDKN1A
CUL1,CTNNB1
CUL1,FBXW7
CUL1,NFKB1
CUL1,PSMD7
CUL1,RBX1
CUL1,SKP1
CUL1,SKP2
DAAM1,APC
DAAM1,ARF4
DAB2,FYN
DAB2,PIK3R2
DAB2,SMAD2
DAB2,STAT1
DAB2,WASL
DAXX,KPNA2
DAXX,SIN3A
DAXX,SMAD2
DAXX,SP1
DAXX,STAT1
DAXX,TCF3
DCP1A,HSPA8
DDEF1,ARF4
DDEF1,CBLB
DDEF1,CRK
DDEF1,GRB2
DDEF1,PTK2
DDEF1,PXN
DDEF1,REPS2
DDX3,CCNA2
DDX3,G3BP2
DDX3,GSK3B
DDX3,SP1
DSP,APC
DSP,FOS
E3B1,AKT1
E3B1,CDC42
E3B1,CRK
E3B1,EGFR
E3B1,EPS8
E3B1,MYC
E3B1,RAC1
