# Protein-1,# Protein-2
GAS1,GLI2
GAS1,RAB23
GIT1,GRB2
GIT1,KPNB1
GRB2,CDC42
GRB2,JUP
GRB2,PTK2
GRB2,PTPN12
GRB2,RELA
GRB2,SHC1
GRB2,STAT2
GRB2,STAT3
GRB2,STAT5B
GRB2,VAV1
HDAC1,HDAC6
HDAC1,JUN
HDAC1,KPNA2
HDAC1,MTA2
HDAC1,NCOR1
HDAC1,PAPOLA
HDAC1,PML
HDAC1,RELA
HDAC1,SMAD3
HDAC1,SMARCE1
HDAC1,SNCA
HDAC1,STAT2
HDAC1,STAT5B
HDAC6,ITGB4BP
HERP1,DAXX
HERP1,NFKB1
HGS,KPNB1
HGS,PLCG2
HGS,PRKACA
HGS,RAN
HGS,SMAD3
HGS,SMURF2
HGS,SNRPD2
HGS,TGFBR1
HGS,ZFHX1B
HSP90A,ANAPC5
HSP90A,CDC23
HSP90A,CDC37
HSP90A,CSK
HSP90A,HDAC1
HSP90A,HSPA8
HSP90A,RELA
HSP90A,STAT5B
HSP90A,STUB1
HSP90A,SUMO1
HSP90B,AP2B1
HSP90B,HSPA8
HSP90B,SUMO1
HSP90B,TBP
HSPA8,CLTC
HSPA8,RAN
HSPA8,STAT5B
HSPA8,STUB1
HSPA8,VAV1
ID2,ID3
ID3,TCF4
IKBA,BRCA1
IKBA,CASP3
IKBA,FAF1
IKBA,FOS
IKBA,FYN
IKBA,HDAC1
IKBA,JUN
IKBA,KPNA2
IKBA,PRKACA
IKBA,RELA
IKBA,STAT3
IKBA,STAT5B
IKKE,AKT1
IKKE,CDC37
IKKE,HSPA8
IKKE,STUB1
ITGB4BP,RPL4
ITGB4BP,RPL8
ITGB4BP,WDR12
JUN,JUNB
JUN,JUND
JUN,KPNA2
JUN,PRKACA
JUN,RELA
JUN,SMAD3
JUN,STAT3
JUN,STAT5B
JUN,TBP
JUN,TGFBR1
JUNB,JUND
JUNB,PRKACA
JUNB,RELA
JUNB,SMAD3
JUNB,TGFBR1
JUNB,ZFHX1B
JUND,TBP
JUND,TGFBR1
JUND,ZFHX1B
JUP,CSNK1A1
JUP,PRKACA
JUP,SMAD3
KPNA2,KPNB1
KPNA2,PIK3CD
KPNA2,RAN
KPNA2,RELA
KPNA2,SMAD3
KPNA2,STAT2
KPNA2,VDR
KPNA3,RAN
KPNB1,ABL1
KPNB1,RAN
KPNB1,RPL4
KPNB1,SMARCC2
MAIL,NFKB1
MAIL,RELA
MAML1,CCND1
MAML1,CTNNB1
MAML1,NOTCH3
MAML1,SNW1
MAP3K4,CDC42
MAP3K4,DVL1
MAP3K4,FLNA
MAP3K4,JUN
MAP3K4,TRAF4
MEF2A,SMAD3
MEK5,FOS
MEK5,JUN
MEK5,MEF2A
MEK5,STAT3
NCOR1,TBP
NIK,AKT1
NIK,HSPA8
NIK,NFKB1
NIK,RELA
NKIRAS2,AKT1
NKIRAS2,CTNNB1
NKIRAS2,GLI2
NKIRAS2,NFKB1
NKIRAS2,PSMD3
NKIRAS2,RELA
NR3C1,CALR
NR3C1,FOS
NR3C1,HDAC6
NR3C1,JUN
NR3C1,NCOR1
NR3C1,NFKB1
NR3C1,RELA
NR3C1,SMARCA4
NR3C1,STAT3
NR3C1,STAT5B
PAPOLA,CTBP1
PAPOLA,KPNB1
PEN2,APH1B
PEN2,CTNNB1
PEN2,NOTCH3
PIK3CD,SMAD3
PIK3CD,VAV1
PKN1,RELA
PLCG2,ABL1
PRKACA,CTNNB1
PRKACA,PRKAR1A
PRKACA,RELA
PSMC1,PSMC3
PSMC1,PSMD1
PSMC1,PSMD13
PSMC1,PSMD3
PSMC3,PSMD1
PSMC3,PSMD13
PSMC3,TBP
PSMD1,CLTC
PSMD1,PSMD13
PSMD1,PSMD3
PSMD3,PSMD13
PSMD13,ANAPC5
PSMD13,PSMB5
PTK2,ABL1
PTK2,SHC1
PTK2,STAT2
PTK2,STAT3
PTK2,STAT5B
PTK2,VAV1
PTPN12,PRKAR1A
PTPN12,STAT5B
PTPN12,STUB1
RAB23,EPS8
RACK1,FYN
RACK1,GRB2
RACK1,RPL4
RACK1,RPS13
RACK1,SDC2
RACK1,SHC1
RAI,JUP
RAI,NFKB1
RAI,RELA
RAN,HDAC1
RAN,NUP214
RAN,RELA
RAN,SUMO1
RAP74,TBP
RELA,SMAD3
RELA,SNCA
RELA,STAT3
RELA,STAT5B
REPS1,CRK
REPS1,GRB2
REQ,CASP7
REQ,SMARCE1
RHOA,PRKAR1A
RHOA,SMAD3
RHOA,TGFB1
RHOA,VAV1
RKIP,NFKB1
RPL4,RPL8
RSK1,AP2B1
RSK1,FOS
RSK1,GRB2
SAM68,CRK
SAM68,CSK
SAM68,FYN
SAM68,GRB2
SAM68,PIK3R1
SAM68,PRMT1
SAM68,STAT3
SHC1,TNK2
SHOC2,PAPOLA
SMAD3,NUP214
SMAD3,RAN
SMAD3,SMAD7
SMAD3,SMURF2
SMAD3,STAT2
SMAD3,STAT3
SMAD3,STUB1
SMAD3,TCF8
SMAD3,TGFB1
SMAD3,TGFBR1
SMAD3,TGFBR2
SMAD3,UBE2E1
SMAD3,VDR
SMAD3,ZFHX1B
SMAD7,TGFB1
SMARCC2,SMARCA4
SMARCC2,TBP
SMOH,ABL1
SMOH,ARRB1
SMOH,ARRB2
SMOH,CCND1
SMOH,CSNK1A1
SMOH,GAS1
SMOH,GLI2
SMOH,RAB23
SMURF2,NUP214
SMURF2,RAN
SNCA,VAV1
SNW1,NOTCH3
SNW1,SMAD3
SNW1,VDR
SNX1,HGS
SNX1,SNX6
SOCS5,STAT5B
